Name,MS_Directory,SynthesizedBeam,FITS_File,BMAJ_arcsec,Weighting
ESO021,ESO021_12m_co21.ms,0.5309800136167916,ESO021_12m_co21_pbcorr_trimmed.fits,0.8526661564899599,
ESO093,ESO093_12m_co21.ms,0.27509394246100427,ESO093_12m_co21_pbcorr_trimmed.fits,0.39305106956591995,
ESO137,ESO137_12m_co21.ms,0.4668882160998505,ESO137_12m_co21_pbcorr_trimmed.fits,0.55333715704992,
ESO208,ESO208_12m_co21.ms,0.24970814283858875,ESO208_12m_co21_pbcorr_trimmed.fits,0.347045285806092,
MCG514,MCG514_12m_co21.ms,0.36973844632098213,MCG514_12m_co21_pbcorr_trimmed.fits,0.40125765948984,
MCG523,MCG523_12m_co21.ms,0.46666205821083645,MCG523_12m_co21_pbcorr_trimmed.fits,0.44514084503628,
MCG630,MCG630_12m_co21.ms,,MCG630_12m_co21_pbcorr_trimmed.fits,0.18276380310078,
NGC1079,NGC1079_12m_co21.ms,0.43224651614472476,NGC1079_12m_co21_pbcorr_trimmed.fits,0.51078886463196,
NGC1315,NGC1315_12m_co21.ms,0.4186182281180157,NGC1315_12m_co21_pbcorr_trimmed.fits,0.49992078869351997,
NGC1365,NGC1365_12m_co21.ms,,NGC1365_12m_co21_pbcorr_trimmed.fits,0.41465599318512003,
NGC1375,NGC1375_12m_co21.ms,0.417155637076174,NGC1375_12m_co21_pbcorr_trimmed.fits,0.48408999420024,
NGC1947,NGC1947_12m_co21.ms,0.31406017894322447,NGC1947_12m_co21_pbcorr_trimmed.fits,0.40851743965956,
NGC2110,NGC2110_12m_co21.ms,0.3298184704580045,NGC2110_12m_co21_pbcorr_trimmed.fits,0.70268077170756,
NGC2775,NGC2775_12m_co21.ms,,NGC2775_12m_co21_pbcorr_trimmed.fits,0.94236386313708,
NGC2992,NGC2992_12m_co21.ms,0.22357324119987218,NGC2992_12m_co21_pbcorr_trimmed.fits,0.62425305770652,
NGC3081,NGC3081_12m_co21.ms,0.529355686431809,NGC3081_12m_co21_pbcorr_trimmed.fits,0.5535657323884801,
NGC3175,NGC3175_12m_co21.ms,0.4227404859342549,NGC3175_12m_co21_pbcorr_trimmed.fits,0.47821925992428,
NGC3351,NGC3351_12m_co21.ms,,NGC3351_12m_co21_pbcorr_trimmed.fits,0.26320502634732,
NGC3351,trimmed_NGC3351_12m_co21.ms,0.2449715870994602,,,
NGC3717,NGC3717_12m_co21.ms,0.5487674714755839,NGC3717_12m_co21_pbcorr_trimmed.fits,0.59905090807992,
NGC3749,NGC3749_12m_co21.ms,0.5482973705381962,NGC3749_12m_co21_pbcorr_trimmed.fits,0.58470080968224,
NGC3783,NGC3783_12m_co21.ms,0.44239570043828397,NGC3783_12m_co21_pbcorr_trimmed.fits,0.52307663817564,
NGC4224,NGC4224_12m_co21.ms,0.4634159576511253,NGC4224_12m_co21_pbcorr_trimmed.fits,0.5475902724622801,
NGC4235,NGC4235_12m_co21.ms,0.45373098393283734,NGC4235_12m_co21_pbcorr_trimmed.fits,0.552777878763,
NGC4254,NGC4254_12m_co21.ms,,NGC4254_12m_co21_pbcorr_trimmed.fits,0.35776761053929196,
NGC4260,NGC4260_12m_co21.ms,0.45960067309478125,NGC4260_12m_co21_pbcorr_trimmed.fits,0.59072949949752,
NGC4593,NGC4593_12m_co21.ms,,NGC4593_12m_co21_pbcorr_trimmed.fits,0.236897595540396,
NGC5037,NGC5037_12m_co21.ms,0.5330206644368234,NGC5037_12m_co21_pbcorr_trimmed.fits,0.60946254354276,
NGC5506,NGC5506_12m_co21.ms,0.24995576290237534,NGC5506_12m_co21_pbcorr_trimmed.fits,0.32397858801432,
NGC5728,NGC5728_12m_co21.ms,0.508958352681099,NGC5728_12m_co21_pbcorr_trimmed.fits,0.59845211504136,
NGC5845,NGC5845_12m_co21.ms,0.4505552336379544,NGC5845_12m_co21_pbcorr_trimmed.fits,0.5457763036576799,
NGC5921,NGC5921_12m_co21.ms,0.4556109197905651,NGC5921_12m_co21_pbcorr_trimmed.fits,0.54297899572608,
NGC6814,NGC6814_12m_co21.ms,1.1512511500388625,NGC6814_12m_co21_pbcorr_trimmed.fits,1.4755288530992399,
NGC7172,NGC7172_12m_co21.ms,0.10085886456501539,NGC7172_12m_co21_pbcorr_trimmed.fits,0.153801817647012,
NGC718,NGC718_12m_co21.ms,0.2819756180045678,NGC718_12m_co21_pbcorr_trimmed.fits,0.41462753785524,
NGC7213,NGC7213_12m_co21.ms,0.5090194718494865,NGC7213_12m_co21_pbcorr_trimmed.fits,0.56751804865476,
NGC7582,NGC7582_12m_co21.ms,0.14699649708429108,NGC7582_12m_co21_pbcorr_trimmed.fits,0.165600936124092,
NGC7727,NGC7727_12m_co21.ms,0.43904437114939515,NGC7727_12m_co21_pbcorr_trimmed.fits,0.5269578399842401,
