name,msname,field,distance_kpc
NGC4388,uid___A002_Xc89480_X2ad3.ms,3,0.002
NGC4388,uid___A002_Xcc3ae3_X5293.ms,2,0.002
NGC4388,uid___A002_X828760_X454.ms.split.cal,13,0.000
NGC4388,uid___A002_X1064920_X20e1.ms,2,0.002
NGC4388,uid___A002_X1064920_X20e1.ms,3,2.955
NGC4388,uid___A002_X1064920_X20e1.ms,4,2.343
NGC4388,uid___A002_X1064920_X20e1.ms,5,2.957
NGC4388,uid___A002_X1064920_X20e1.ms,6,1.191
NGC4388,uid___A002_X1064920_X20e1.ms,7,1.195
NGC4388,uid___A002_X1064920_X20e1.ms,8,1.962
NGC4388,uid___A002_X1064920_X20e1.ms,9,0.780
NGC4388,uid___A002_X1064920_X20e1.ms,10,1.966
NGC4388,uid___A002_X1064920_X20e1.ms,11,2.508
NGC4388,uid___A002_X1064920_X20e1.ms,12,2.509
NGC6814,uid___A002_Xd341ff_X9445.ms.split.cal,3,0.003
NGC6814,uid___A002_Xe014a2_X92b1.ms.split.cal,3,0.003
NGC6814,uid___A002_Xcc3ae3_X12410.ms.split.cal,2,0.003
NGC5728,uid___A002_Xe770d7_X3755.ms.split.cal,3,0.005
NGC5728,uid___A002_Xe78c20_X46c8.ms.split.cal,3,0.005
